Acc.building,Acc.car,Acc.clutter,Acc.impervious_surface,Acc.low_vegetation,Acc.tree,IoU.building,IoU.car,IoU.clutter,IoU.impervious_surface,IoU.low_vegetation,IoU.tree,aAcc,data_time,decode.acc_seg,decode.loss_seg,epoch,iter,lr,mAcc,mIoU,memory,mix.decode.acc_seg,mix.decode.loss_seg,mode,time
,,,,,,,,,,,,,0.02341,19.48017,0.97162,1,50,0.0,,,15062,35.99956,0.71393,train,0.68307
,,,,,,,,,,,,,0.01841,40.8803,0.7972,1,100,1e-05,,,15062,56.25926,0.66606,train,0.6636
,,,,,,,,,,,,,0.01889,52.39691,0.62188,1,150,1e-05,,,15062,65.79577,0.47764,train,0.67857
,,,,,,,,,,,,,0.01808,54.37912,0.53754,1,200,1e-05,,,15062,63.12135,0.36306,train,0.65494
,,,,,,,,,,,,,0.01786,61.11111,0.46347,1,250,2e-05,,,15062,67.96459,0.35049,train,0.64468
,,,,,,,,,,,,,0.01734,62.63253,0.40155,1,300,2e-05,,,15062,71.34351,0.35342,train,0.64253
,,,,,,,,,,,,,0.01781,60.29062,0.37596,1,350,2e-05,,,15062,73.57669,0.36303,train,0.64836
,,,,,,,,,,,,,0.0179,62.51429,0.37193,1,400,2e-05,,,15062,77.45961,0.32829,train,0.64865
0.86,0.5329,0.6099,0.7196,0.2435,0.9714,0.7509,0.4228,0.1132,0.6633,0.2239,0.5512,0.7066,,,,1,398,2e-05,0.6562,0.4542,15062,,,train,30.16186
,,,,,,,,,,,,,0.01779,60.85108,0.33952,1,450,3e-05,,,15062,77.29076,0.3433,train,0.65859
,,,,,,,,,,,,,0.01798,64.15672,0.29075,1,500,3e-05,,,15062,78.92071,0.34142,train,0.64825
,,,,,,,,,,,,,0.01788,64.07379,0.26586,1,550,3e-05,,,15062,80.46127,0.32975,train,0.65002
,,,,,,,,,,,,,0.01837,65.55913,0.2461,1,600,3e-05,,,15062,85.19745,0.30209,train,0.65619
,,,,,,,,,,,,,0.0189,64.49394,0.25108,1,650,4e-05,,,15062,85.50861,0.3148,train,0.66934
,,,,,,,,,,,,,0.01825,66.31432,0.29705,1,700,4e-05,,,15062,84.50573,0.35017,train,0.65387
,,,,,,,,,,,,,0.0187,67.488,0.29614,1,750,4e-05,,,15062,86.21214,0.32337,train,0.65612
,,,,,,,,,,,,,0.01834,65.83856,0.22796,1,800,4e-05,,,15062,86.87629,0.29968,train,0.65367
0.9679,0.6496,0.4681,0.8086,0.4869,0.9466,0.799,0.514,0.1866,0.7724,0.4517,0.6718,0.8068,,,,1,398,4e-05,0.7213,0.5659,15062,,,train,28.37512
